read_code,brand_name,term_description,term,dose,quantity,group,with_calcium_channel_blocker,with_diuretic
x02iU,Medomet,Medomet,Methyldopa,,,Centrally-Acting Antihypertensive Drugs,False,False
x02ij,Metalpha,Metalpha,Methyldopa,,,Centrally-Acting Antihypertensive Drugs,False,False
x02lk,Odrik,Odrik,Trandolapril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x02pJ,Renitec,Renitec,Enalapril Maleate,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x02q3,Rogitine,Rogitine,Phentolamine Mesilate,,,Alpha-Adrenoceptor Blocking Drugs,False,False
x02rU,Staril,Staril,Fosinopril Sodium,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x02tS,Tritace,Tritace,Ramipril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x02u7,Vascace,Vascace,Cilazapril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x02uy,Zestoretic,Zestoretic,Lisinopril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x03ce,Perdix,Perdix,Moexipril Hydrochloride,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x03dG,Kentovace,Kentovace,Prazosin Hydrochloride,,,Alpha-Adrenoceptor Blocking Drugs,False,False
x03h1,Zestril,Zestril,Lisinopril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x03i1,Physiotens,Physiotens,Moxonidine,,,Centrally-Acting Antihypertensive Drugs,False,False
x03kD,Ecopace,Ecopace,Captopril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x03lH,Kaplon,Kaplon,Captopril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x03lt,Cozaar,Cozaar-Comp,Losartan Potassium,,,Angiotensin-II Receptor Antagonists,False,False
x03qX,Aprovel,Aprovel,Irbesartan,,,Angiotensin-II Receptor Antagonists,False,False
x03rX,Tarka,Tarka,Trandolapril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x03xa,Diovan,Diovan,Valsartan,,,Angiotensin-II Receptor Antagonists,False,False
x03zU,Cozaar,Cozaar Half Strength,Losartan Potassium,,,Angiotensin-II Receptor Antagonists,False,False
x040z,Capozide,Capozide,Co-Zidocapt,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x0410,Capozide,Capozide LS,Co-Zidocapt,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x0411,Carace,Carace 10 Plus,Lisinopril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x0412,Carace,Carace 20 Plus,Lisinopril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x047M,Acezide,Acezide,Co-Zidocapt,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x04A0,Zestoretic,Zestoretic 10,Lisinopril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x04A1,Zestoretic,Zestoretic 20,Lisinopril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x04bR,Amias,Amias,Candesartan Cilexetil,,,Angiotensin-II Receptor Antagonists,False,False
x04c7,Innovace,Innovace Melt,Enalapril Maleate,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x04t5,Hyteneze,Hyteneze 12.5,Captopril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x04t6,Hyteneze,Hyteneze 25,Captopril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x04t7,Hyteneze,Hyteneze 50,Captopril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x04t8,Tensopril,Tensopril,Captopril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x04xj,Tanatril,Tanatril,Imidapril Hydrochloride,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x051w,Triapin,Triapin mite,Ramipril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x051x,Triapin,Triapin,Ramipril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x052v,Micardis,Micardis,Telmisartan,,,Angiotensin-II Receptor Antagonists,False,False
x054w,Capto-Co,Capto-Co,Co-Zidocapt,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x055s,Pralenal,Pralenal,Enalapril Maleate,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x056P,Teveten,Teveten,Eprosartan,,,Angiotensin-II Receptor Antagonists,False,False
x05Dq,CoAprovel,CoAprovel,Irbesartan,,,Angiotensin-II Receptor Antagonists,False,False
x05df,Perindopril,Perindopril+indapamide,Perindopril,,,Angiotensin-Converting Enzyme Inhibitors,False,True
x05dg,Coversyl,Coversyl Plus,Perindopril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x05gd,Tracleer,Tracleer,Bosentan,,,Vasodilator Antihypertensive Drugs,False,False
x05j2,Micardis,MicardisPlus,Telmisartan,,,Angiotensin-II Receptor Antagonists,False,False
x05mo,Olmetec,Olmetec,Olmesartan,,,Angiotensin-II Receptor Antagonists,False,False
x05pF,Lotens,Felotens XL,Guanethidine Monosulfate,,,Adrenergic Neurone Blocking Drugs,True,False
x05sk,Caralpha,Caralpha,Lisinopril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x05u2,Diovan,Co-Diovan,Valsartan,,,Angiotensin-II Receptor Antagonists,False,False
x05uH,Lopace,Lopace,Ramipril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x05vC,Lisicostad,Lisicostad HCT,Lisinopril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x05vO,Ranace,Ranace,Ramipril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x05x1,Quinil,Quinil,Quinapril Hydrochloride,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x0601,Revatio,Revatio,Sildenafil(Vasodilator Antihypertensive),,,Vasodilator Antihypertensive Drugs,False,False
x060W,Olmetec,Olmetec Plus,Olmesartan,,,Angiotensin-II Receptor Antagonists,False,False
.C543,Hypercal,(Phosphorus &/or calcium disorders (& [hypercalcaemia] or [hypercalcinuria] or [hypocalcaemia]) or (nephrocalcinosis),Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
.C543,Hypercal,Hypercalcinuria,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
.C543,Hypercal,Hypercalcaemia,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
8I7W.,Aliskiren,Aliskiren not tolerated,Aliskiren,,,Renin Inhibitors,False,False
8IH9.,Aliskiren,Aliskiren declined,Aliskiren,,,Renin Inhibitors,False,False
C1513,Hypercal,Bartter's syndrome with hypercalciuria and nephrocalcinosis,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
C354D,Hypercal,Familial hypocalciuric hypercalcaemia,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
C354D,Hypercal,FHH - Familial hypocalciuric hypercalcaemia,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
SP3y9,Hypercal,Acute hypercalcaemia of dialysis,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
bi1F.,Captopril,Captopril+hydrochlorothiazide 25mg/12.5mg tablet,Captopril,25 mg,,Angiotensin-Converting Enzyme Inhibitors,False,True
bi1G.,Captopril,Captopril+hydrochlorothiazide 50mg/25mg tablet,Captopril,50 mg,,Angiotensin-Converting Enzyme Inhibitors,False,True
