read_code,brand_name,term_description,term,quantity,dose,group,with_calcium_channel_blocker,with_diuretic
bk4u.,Valsartan,VALSARTAN 3mg/mL oral solution,Valsartan,,3 mg/mL,Angiotensin-II Receptor Antagonists,False,False
bk4v.,Valsartan,VALSARTAN 320mg tablets,Valsartan,,320 mg,Angiotensin-II Receptor Antagonists,False,False
bk4w.,Valsartan,VALSARTAN 40mg tablets,Valsartan,,40 mg,Angiotensin-II Receptor Antagonists,False,False
bk4x.,Valsartan,VALSARTAN+HYDROCHLOROTHIAZIDE 80mg/12.5mg tablets,Valsartan,,80 mg,Angiotensin-II Receptor Antagonists,False,True
bk4y.,Valsartan,VALSARTAN+HYDROCHLOROTHIAZIDE 160mg/25mg tablets,Valsartan,,160 mg,Angiotensin-II Receptor Antagonists,False,True
bk4z.,Valsartan,VALSARTAN+HYDROCHLOROTHIAZIDE 160mg/12.5mg tablets,Valsartan,,160 mg,Angiotensin-II Receptor Antagonists,False,True
bk5..,Irbesartan,IRBESARTAN,Irbesartan,,,Angiotensin-II Receptor Antagonists,False,False
bk51.,Irbesartan,IRBESARTAN 75mg tablets,Irbesartan,,75 mg,Angiotensin-II Receptor Antagonists,False,False
bk52.,Irbesartan,IRBESARTAN 150mg tablets,Irbesartan,,150 mg,Angiotensin-II Receptor Antagonists,False,False
bk53.,Irbesartan,IRBESARTAN 300mg tablets,Irbesartan,,300 mg,Angiotensin-II Receptor Antagonists,False,False
bk54.,Aprovel,APROVEL 75mg tablets,Irbesartan,,75 mg,Angiotensin-II Receptor Antagonists,False,False
bk55.,Aprovel,APROVEL 150mg tablets,Irbesartan,,150 mg,Angiotensin-II Receptor Antagonists,False,False
bk56.,Aprovel,APROVEL 300mg tablets,Irbesartan,,300 mg,Angiotensin-II Receptor Antagonists,False,False
bk57.,CoAprovel,COAPROVEL 150mg/12.5mg tablets,Irbesartan,,150 mg,Angiotensin-II Receptor Antagonists,False,False
bk58.,CoAprovel,COAPROVEL 300mg/12.5mg tablets,Irbesartan,,300 mg,Angiotensin-II Receptor Antagonists,False,False
bk59.,CoAprovel,COAPROVEL 300mg/25mg tablets,Irbesartan,,300 mg,Angiotensin-II Receptor Antagonists,False,False
bk5x.,Irbesartan,IRBESARTAN+HYDROCHLOROTHIAZIDE 300mg/25mg tablets,Irbesartan,,300 mg,Angiotensin-II Receptor Antagonists,False,True
bk5y.,Irbesartan,IRBESARTAN+HYDROCHLOROTHIAZIDE 300mg/12.5mg tablets,Irbesartan,,300 mg,Angiotensin-II Receptor Antagonists,False,True
bk5z.,Irbesartan,IRBESARTAN+HYDROCHLOROTHIAZIDE 150mg/12.5mg tablets,Irbesartan,,150 mg,Angiotensin-II Receptor Antagonists,False,True
bk6..,Trandolapril,TRANDOLAPRIL+VERAPAMIL HYDROCHLORIDE,Trandolapril,,,Angiotensin-Converting Enzyme Inhibitors,True,False
bk61.,Trandolapril,TRANDOLAPRIL+VERAPAMIL HYDROCHLORIDE 2mg/180mg m/r capsules,Trandolapril,,2 mg,Angiotensin-Converting Enzyme Inhibitors,True,False
bk62.,Tarka,*TARKA 2mg/180mg m/r capsules,Trandolapril,,2 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bk7..,Candesartan Cilexetil,CANDESARTAN CILEXETIL,Candesartan Cilexetil,,,Angiotensin-II Receptor Antagonists,False,False
bk71.,Candesartan Cilexetil,CANDESARTAN CILEXETIL 2mg tablets,Candesartan Cilexetil,,2 mg,Angiotensin-II Receptor Antagonists,False,False
bk72.,Candesartan Cilexetil,CANDESARTAN CILEXETIL 4mg tablets,Candesartan Cilexetil,,4 mg,Angiotensin-II Receptor Antagonists,False,False
bk73.,Candesartan Cilexetil,CANDESARTAN CILEXETIL 8mg tablets,Candesartan Cilexetil,,8 mg,Angiotensin-II Receptor Antagonists,False,False
bk74.,Candesartan Cilexetil,CANDESARTAN CILEXETIL 16mg tablets,Candesartan Cilexetil,,16 mg,Angiotensin-II Receptor Antagonists,False,False
bk75.,Amias,AMIAS 2mg tablets,Candesartan Cilexetil,,2 mg,Angiotensin-II Receptor Antagonists,False,False
bk76.,Amias,AMIAS 4mg tablets,Candesartan Cilexetil,,4 mg,Angiotensin-II Receptor Antagonists,False,False
bk77.,Amias,AMIAS 8mg tablets,Candesartan Cilexetil,,8 mg,Angiotensin-II Receptor Antagonists,False,False
bk78.,Amias,AMIAS 16mg tablets,Candesartan Cilexetil,,16 mg,Angiotensin-II Receptor Antagonists,False,False
bk79.,Amias,AMIAS 32mg tablets,Candesartan Cilexetil,,32 mg,Angiotensin-II Receptor Antagonists,False,False
bk7z.,Candesartan Cilexetil,CANDESARTAN CILEXETIL 32mg tablets,Candesartan Cilexetil,,32 mg,Angiotensin-II Receptor Antagonists,False,False
bk8..,Telmisartan,TELMISARTAN,Telmisartan,,,Angiotensin-II Receptor Antagonists,False,False
bk81.,Telmisartan,TELMISARTAN 40mg tablets,Telmisartan,,40 mg,Angiotensin-II Receptor Antagonists,False,False
bk82.,Telmisartan,TELMISARTAN 80mg tablets,Telmisartan,,80 mg,Angiotensin-II Receptor Antagonists,False,False
bk83.,Micardis,MICARDIS 40mg tablets,Telmisartan,,40 mg,Angiotensin-II Receptor Antagonists,False,False
bk84.,Micardis,MICARDIS 80mg tablets,Telmisartan,,80 mg,Angiotensin-II Receptor Antagonists,False,False
bk85.,Micardis,MICARDIS 20mg tablets,Telmisartan,,20 mg,Angiotensin-II Receptor Antagonists,False,False
bk86.,Micardis,MICARDISPLUS 40mg/12.5mg tablets,Telmisartan,,40 mg,Angiotensin-II Receptor Antagonists,False,False
bk87.,Micardis,MICARDISPLUS 80mg/12.5mg tablets,Telmisartan,,80 mg,Angiotensin-II Receptor Antagonists,False,False
bk88.,Micardis,MICARDISPLUS 80mg/25mg tablets,Telmisartan,,80 mg,Angiotensin-II Receptor Antagonists,False,False
bk8w.,Telmisartan,TELMISARTAN+HYDROCHLOROTHIAZIDE 80mg/25mg tablets,Telmisartan,,80 mg,Angiotensin-II Receptor Antagonists,False,True
bk8x.,Telmisartan,TELMISARTAN+HYDROCHLOROTHIAZIDE 40mg/12.5mg tablets,Telmisartan,,40 mg,Angiotensin-II Receptor Antagonists,False,True
bk8y.,Telmisartan,TELMISARTAN+HYDROCHLOROTHIAZIDE 80mg/12.5mg tablets,Telmisartan,,80 mg,Angiotensin-II Receptor Antagonists,False,True
bk8z.,Telmisartan,TELMISARTAN 20mg tablets,Telmisartan,,20 mg,Angiotensin-II Receptor Antagonists,False,False
bk9..,Eprosartan,EPROSARTAN,Eprosartan,,,Angiotensin-II Receptor Antagonists,False,False
bk91.,Teveten,TEVETEN 300mg tablets,Eprosartan,,300 mg,Angiotensin-II Receptor Antagonists,False,False
bk92.,Teveten,*TEVETEN 400mg tablets,Eprosartan,,400 mg,Angiotensin-II Receptor Antagonists,False,False
bk93.,Teveten,TEVETEN 600mg tablets,Eprosartan,,600 mg,Angiotensin-II Receptor Antagonists,False,False
bk9x.,Eprosartan,EPROSARTAN 300mg tablets,Eprosartan,,300 mg,Angiotensin-II Receptor Antagonists,False,False
bk9y.,Eprosartan,EPROSARTAN 400mg tablets,Eprosartan,,400 mg,Angiotensin-II Receptor Antagonists,False,False
bk9z.,Eprosartan,EPROSARTAN 600mg tablets,Eprosartan,,600 mg,Angiotensin-II Receptor Antagonists,False,False
bkA..,Bosentan,BOSENTAN,Bosentan,,,Vasodilator Antihypertensive Drugs,False,False
bkA1.,Bosentan,BOSENTAN MONOHYDRATE 62.5mg tablets,Bosentan,,62.5 mg,Vasodilator Antihypertensive Drugs,False,False
bkA2.,Bosentan,BOSENTAN MONOHYDRATE 125mg tablets,Bosentan,,125 mg,Vasodilator Antihypertensive Drugs,False,False
bkA3.,Tracleer,TRACLEER 62.5mg tablets,Bosentan,,62.5 mg,Vasodilator Antihypertensive Drugs,False,False
bkA4.,Tracleer,TRACLEER 125mg tablets,Bosentan,,125 mg,Vasodilator Antihypertensive Drugs,False,False
bkB..,Olmesartan,OLMESARTAN,Olmesartan,,,Angiotensin-II Receptor Antagonists,False,False
bkB1.,Olmesartan,OLMESARTAN MEDOXOMIL 10mg tablets,Olmesartan,,10 mg,Angiotensin-II Receptor Antagonists,False,False
bkB2.,Olmesartan,OLMESARTAN MEDOXOMIL 20mg tablets,Olmesartan,,20 mg,Angiotensin-II Receptor Antagonists,False,False
bkB3.,Olmesartan,OLMESARTAN MEDOXOMIL 40mg tablets,Olmesartan,,40 mg,Angiotensin-II Receptor Antagonists,False,False
bkB4.,Olmetec,OLMETEC 10mg tablets,Olmesartan,,10 mg,Angiotensin-II Receptor Antagonists,False,False
bkB5.,Olmetec,OLMETEC 20mg tablets,Olmesartan,,20 mg,Angiotensin-II Receptor Antagonists,False,False
bkB6.,Olmetec,OLMETEC 40mg tablets,Olmesartan,,40 mg,Angiotensin-II Receptor Antagonists,False,False
bkC..,Olmesartan,HYDROCHLOROTHIAZIDE + OLMESARTAN,Olmesartan,,,Angiotensin-II Receptor Antagonists,False,True
bkC1.,Olmetec,OLMETEC PLUS 20mg/12.5mg tablets,Olmesartan,,20 mg,Angiotensin-II Receptor Antagonists,False,False
bkC2.,Olmetec,OLMETEC PLUS 20mg/25mg tablets,Olmesartan,,20 mg,Angiotensin-II Receptor Antagonists,False,False
bkC3.,Olmetec,OLMETEC PLUS 40mg/12.5mg tablets,Olmesartan,,40 mg,Angiotensin-II Receptor Antagonists,False,False
bkCx.,Olmesartan,OLMESARTAN+HYDROCHLOROTHIAZIDE 40mg/12.5mg tablets,Olmesartan,,40 mg,Angiotensin-II Receptor Antagonists,False,True
bkCy.,Olmesartan,OLMESARTAN + HYDROCHLOROTHIAZIDE 20mg/25mg tablets,Olmesartan,,20 mg,Angiotensin-II Receptor Antagonists,False,True
bkCz.,Olmesartan,OLMESARTAN + HYDROCHLOROTHIAZIDE 20mg/12.5mg tablets,Olmesartan,,20 mg,Angiotensin-II Receptor Antagonists,False,True
bkD..,Valsartan,AMLODIPINE + VALSARTAN,Valsartan,,,Angiotensin-II Receptor Antagonists,True,False
bkD1.,Valsartan,AMLODIPINE+VALSARTAN 5mg/80mg tablets,Valsartan,,5 mg,Angiotensin-II Receptor Antagonists,True,False
bkD2.,Valsartan,AMLODIPINE+VALSARTAN 5mg/160mg tablets,Valsartan,,5 mg,Angiotensin-II Receptor Antagonists,True,False
bkD3.,Valsartan,AMLODIPINE+VALSARTAN 10mg/160mg tablets,Valsartan,,10 mg,Angiotensin-II Receptor Antagonists,True,False
bkE1.,Thelin,*THELIN 100mg tablets,Sitaxentan Sodium,,100 mg,Vasodilator Antihypertensive Drugs,False,False
bkEz.,Sitaxentan Sod,SITAXENTAN SODIUM 100mg tablets,Sitaxentan Sodium,,100 mg,Vasodilator Antihypertensive Drugs,False,False
bkF..,Aliskiren,ALISKIREN,Aliskiren,,,Renin Inhibitors,False,False
bkF1.,Rasilez,RASILEZ 150mg tablets,Aliskiren,,150 mg,Renin Inhibitors,False,False
bkF2.,Rasilez,RASILEZ 300mg tablets,Aliskiren,,300 mg,Renin Inhibitors,False,False
bkFy.,Aliskiren,ALISKIREN 300mg tablets,Aliskiren,,300 mg,Renin Inhibitors,False,False
bkFz.,Aliskiren,ALISKIREN 150mg tablets,Aliskiren,,150 mg,Renin Inhibitors,False,False
bkG..,Ambrisentan,AMBRISENTAN,Ambrisentan,,,Vasodilator Antihypertensive Drugs,False,False
bkG1.,Volibris,VOLIBRIS 5mg tablets,Ambrisentan,,5 mg,Vasodilator Antihypertensive Drugs,False,False
bkG2.,Volibris,VOLIBRIS 10mg tablets,Ambrisentan,,10 mg,Vasodilator Antihypertensive Drugs,False,False
bkGy.,Ambrisentan,AMBRISENTAN 10mg tablets,Ambrisentan,,10 mg,Vasodilator Antihypertensive Drugs,False,False
bkGz.,Ambrisentan,AMBRISENTAN 5mg tablets,Ambrisentan,,5 mg,Vasodilator Antihypertensive Drugs,False,False
bkH..,Olmesartan,OLMESARTAN+AMLODIPINE,Olmesartan,,,Angiotensin-II Receptor Antagonists,True,False
bkH1.,Sevikar,SEVIKAR 20mg/5mg tablets,Olmesartan,,20 mg,Angiotensin-II Receptor Antagonists,False,False
bkH2.,Sevikar,SEVIKAR 40mg/5mg tablets,Olmesartan,,40 mg,Angiotensin-II Receptor Antagonists,False,False
bkH3.,Sevikar,SEVIKAR 40mg/10mg tablets,Olmesartan,,40 mg,Angiotensin-II Receptor Antagonists,False,False
bkHx.,Olmesartan,OLMESARTAN MEDOXOMIL+AMLODIPINE 40mg/10mg tablets,Olmesartan,,40 mg,Angiotensin-II Receptor Antagonists,True,False
bkHy.,Olmesartan,OLMESARTAN MEDOXOMIL+AMLODIPINE 40mg/5mg tablets,Olmesartan,,40 mg,Angiotensin-II Receptor Antagonists,True,False
bkHz.,Olmesartan,OLMESARTAN MEDOXOMIL+AMLODIPINE 20mg/5mg tablets,Olmesartan,,20 mg,Angiotensin-II Receptor Antagonists,True,False
bkI..,Olmesartan,OLMESARTAN+AMLODIPINE+HYDROCHLOROTHIAZIDE,Olmesartan,,,Angiotensin-II Receptor Antagonists,True,True
bkI1.,Sevikar,SEVIKAR HCT 20mg/5mg/12.5mg tablets,Olmesartan,,20 mg,Angiotensin-II Receptor Antagonists,False,False
bkI2.,Sevikar,SEVIKAR HCT 40mg/5mg/12.5mg tablets,Olmesartan,,40 mg,Angiotensin-II Receptor Antagonists,False,False
bkI3.,Sevikar,SEVIKAR HCT 40mg/10mg/12.5mg tablets,Olmesartan,,40 mg,Angiotensin-II Receptor Antagonists,False,False
bkI4.,Sevikar,SEVIKAR HCT 40mg/5mg/25mg tablets,Olmesartan,,40 mg,Angiotensin-II Receptor Antagonists,False,False
bkI5.,Sevikar,SEVIKAR HCT 40mg/10mg/25mg tablets,Olmesartan,,40 mg,Angiotensin-II Receptor Antagonists,False,False
bkJ1.,Edarbi,EDARBI 20mg tablets,Azilsartan Medoxomil,,20 mg,Angiotensin-II Receptor Antagonists,False,False
bkJ2.,Azilsartan Medoxomil,AZILSARTAN MEDOXOMIL 20mg tablets,Azilsartan Medoxomil,,20 mg,Angiotensin-II Receptor Antagonists,False,False
bkJ3.,Edarbi,EDARBI 40mg tablets,Azilsartan Medoxomil,,40 mg,Angiotensin-II Receptor Antagonists,False,False
bkJ4.,Azilsartan Medoxomil,AZILSARTAN MEDOXOMIL 40mg tablets,Azilsartan Medoxomil,,40 mg,Angiotensin-II Receptor Antagonists,False,False
bkJ5.,Edarbi,EDARBI 80mg tablets,Azilsartan Medoxomil,,80 mg,Angiotensin-II Receptor Antagonists,False,False
bkJ6.,Azilsartan Medoxomil,AZILSARTAN MEDOXOMIL 80mg tablets,Azilsartan Medoxomil,,80 mg,Angiotensin-II Receptor Antagonists,False,False
bkK..,Macitentan,MACITENTAN,Macitentan,,,Vasodilator Antihypertensive Drugs,False,False
bkK1.,Opsumit,OPSUMIT 10mg tablets,Macitentan,,10 mg,Vasodilator Antihypertensive Drugs,False,False
bkK2.,Macitentan,MACITENTAN 10mg tablets,Macitentan,,10 mg,Vasodilator Antihypertensive Drugs,False,False
bkL..,Valsartan,SACUBITRIL+VALSARTAN,Valsartan,,,Angiotensin-II Receptor Antagonists,False,False
bkL1.,Entresto,ENTRESTO 24mg/26mg tablets,Sacubitril/Valsartan,,24 mg,Angiotensin-II Receptor Antagonists,False,False
bkL2.,Valsartan,SACUBITRIL+VALSARTAN 24mg/26mg tablets,Valsartan,,24 mg,Angiotensin-II Receptor Antagonists,False,False
